215 SA46 18.0945 63.4896 215_PLOT_RESULTS_stereo_SA46.eps 2 21 1
216 SA47 23.9733 63.3596 216_PLOT_RESULTS_stereo_SA47.eps 0 7 1
217 SA48 13.678 63.2305 217_PLOT_RESULTS_stereo_SA48.eps 0 16 0
218 SA49 21.2788 63.1749 218_PLOT_RESULTS_stereo_SA49.eps 0 9 0
219 SA50 16.3224 63.114 219_PLOT_RESULTS_stereo_SA50.eps 4 26 0
220 SA51 11.6437 63.0441 220_PLOT_RESULTS_stereo_SA51.eps 1 8 0
221 SA52 22.4878 62.9381 221_PLOT_RESULTS_stereo_SA52.eps 2 14 1
222 SA53 13.0526 62.8004 222_PLOT_RESULTS_stereo_SA53.eps 0 2 0
223 SA54 18.1489 62.7504 223_PLOT_RESULTS_stereo_SA54.eps 2 5 3
224 SA55 10.0396 62.7191 224_PLOT_RESULTS_stereo_SA55.eps 0 1 0
225 SA56 16.3087 62.4859 225_PLOT_RESULTS_stereo_SA56.eps 0 12 0
226 SA57 14.9213 62.4494 226_PLOT_RESULTS_stereo_SA57.eps 2 25 0
227 SA58 12.5534 61.9449 227_PLOT_RESULTS_stereo_SA58.eps 0 8 0
228 SA59 14.1203 61.8654 228_PLOT_RESULTS_stereo_SA59.eps 0 2 0
229 SA60 17.3793 61.693 229_PLOT_RESULTS_stereo_SA60.eps 2 15 2
230 SA61 21.4622 61.5934 230_PLOT_RESULTS_stereo_SA61.eps 0 25 0
231 SA62 15.5116 61.3839 231_PLOT_RESULTS_stereo_SA62.eps 0 1 0
232 SA63 13.9566 61.134 232_PLOT_RESULTS_stereo_SA63.eps 0 18 0
233 SA64 25.0399 61.0537 233_PLOT_RESULTS_stereo_SA64.eps 14 11 3
234 SA65 15.7698 61.0535 234_PLOT_RESULTS_stereo_SA65.eps 1 11 1
235 SA66 14.7806 60.4468 235_PLOT_RESULTS_stereo_SA66.eps 0 24 1
236 SA67 22.4439 60.4158 236_PLOT_RESULTS_stereo_SA67.eps 2 17 1
237 SALU 18.5067 67.3801 237_PLOT_RESULTS_stereo_SALU.eps 1 6 0
238 SGF 26.5261 67.4421 238_PLOT_RESULTS_stereo_SGF.eps 42 65 0
