0.047 0 0 0 5433197.85821         0
0.047 0 0 0 5433197.85821         0
0.047 0 0 0 5433197.85821         0
NaN NaN DEPTH STRIKE DIP RAKE STRIKE DIP RAKE 0.047 0 0 0 0
130.64 28.12 15.0 78.00 61.00 -75.00 230.00 33.00 -114.00 2.0281 0 0 0 87.8491
-129.77 48.93 15.0 37.00 89.00 -1.00 127.00 89.00 -179.00 2.41952 0 0 0 76.2845
126.15 -2.88 43.3 1.00 87.00 173.00 91.00 83.00 3.00 1.91224 0 0 0 110.412
90.67 38.22 10.0 98.00 61.00 65.00 322.00 37.00 127.00 1.60288 0 0 0 57.9172
118.86 -10.41 24.5 89.00 63.00 89.00 271.00 27.00 92.00 1.91224 0 0 0 111.447
144.79 -2.99 11.3 0.00 80.00 -131.00 258.00 42.00 -15.00 2.56611 0 0 0 121.439
165.78 -11.7 40.8 153.00 48.00 88.00 336.00 42.00 93.00 1.60288 0 0 0 138.931
-68.61 -24.89 134.4 26.00 49.00 105.00 183.00 44.00 73.00 2.56611 0 0 0 100.337
174.29 -41.76 26.4 70.00 24.00 -57.00 215.00 70.00 -104.00 1.7 0 0 0 168.256
126.56 5.01 50.1 161.00 40.00 130.00 293.00 61.00 62.00 1.803 0 0 0 104.439
-178.4 -18.3 607.0 149.00 18.00 -100.00 339.00 72.00 -87.00 1.60288 0 0 0 149.587
69.79 39.85 10.0 104.00 55.00 83.00 296.00 35.00 99.00 1.60288 0 0 0 43.7695
-62.91 -25.05 565.1 41.00 7.00 -23.00 153.00 87.00 -97.00 2.41952 0 0 0 97.1158
-82.65 -66.56 10.0 8.00 39.00 87.00 192.00 51.00 92.00 1.91224 0 0 0 133.723
